t,A,B,C,D,E,
2.824161,363,485,140,12,0,
2.828641,363,484,141,12,0,
2.831325,362,485,141,12,0,
2.834936,362,484,142,12,0,
2.839609,361,485,142,12,0,
2.844325,360,486,142,12,0,
2.846583,359,487,142,12,0,
2.849399,359,487,141,13,0,
2.852121,358,488,141,13,0,
2.856419,357,489,141,13,0,
2.858726,357,488,142,13,0,
2.866763,356,489,142,13,0,
2.869406,355,490,142,13,0,
2.874269,355,489,143,13,0,
2.887190,354,490,143,13,0,
2.889735,353,491,143,13,0,
2.892292,353,490,144,13,0,
2.894518,352,491,144,13,0,
2.903099,351,492,144,13,0,
2.906107,351,492,143,14,0,
2.911556,351,491,144,14,0,
2.914750,350,492,144,14,0,
2.917598,350,491,145,14,0,
2.920111,350,490,146,14,0,
2.923330,349,491,146,14,0,
2.926730,348,492,146,14,0,
2.932078,347,493,146,14,0,
2.937355,347,492,147,14,0,
2.939883,347,491,148,14,0,
2.953198,347,490,149,14,0,
2.960458,346,491,149,14,0,
2.963836,346,490,150,14,0,
2.967081,346,490,149,15,0,
2.978295,346,489,150,15,0,
2.980658,345,490,150,15,0,
2.988467,344,491,150,15,0,
2.991219,344,490,151,15,0,
2.993771,344,489,152,15,0,
2.997109,343,490,152,15,0,
3.011777,343,489,153,15,0,
3.014517,343,488,154,15,0,
3.016924,343,487,155,15,0,
3.020200,343,486,156,15,0,
3.026863,343,485,157,15,0,
3.029492,342,486,157,15,0,
3.032427,342,485,158,15,0,
3.037317,342,484,159,15,0,
3.039653,341,485,159,15,0,
3.043736,341,485,158,16,0,
3.047108,340,486,158,16,0,
3.050845,339,487,158,16,0,
3.053829,339,486,159,16,0,
3.056505,338,487,159,16,0,
3.059482,338,486,160,16,0,
3.065038,337,487,160,16,0,
3.068511,337,487,159,17,0,
3.072541,337,486,160,17,0,
3.076152,337,485,161,17,0,
3.079099,336,486,161,17,0,
3.081670,335,487,161,17,0,
3.084384,334,488,161,17,0,
3.086788,334,487,162,17,0,
3.089217,334,486,163,17,0,
3.091990,333,487,163,17,0,
3.096787,332,488,163,17,0,
3.102050,331,489,163,17,0,
3.109617,331,488,164,17,0,
3.112875,331,487,165,17,0,
3.120829,330,488,165,17,0,
